方法大类,实验类型,实验名称,协议,设置,模型,关键参数,最终步骤,旧类mIoU(%),新类mIoU(%),全部mIoU(%),对照基线,相对差值(百分点),可比性说明,验证状态,结论,证据编号
复现与基线,完整链路复现,15-1 TRS完整复现链,15-1,sequential,DeepLabV3 ResNet101,最终step=5；buffer=8196；gamma=1；历史参数记录不完整,step5,78.2523,41.5258,69.5079,,,历史复现，不跨谱系作差,完成,建立可运行、可比较的协议基座,E001
复现与基线,完整链路复现,15-1本地完整复现链,15-1,sequential,DeepLabV3 ResNet101,最终step=5；buffer=8196；gamma=1；历史参数记录不完整,step5,77.9050,40.2789,68.9464,,,历史复现，不跨谱系作差,完成,建立可运行、可比较的协议基座,E002
复现与基线,完整链路复现,15-5 TRS step1 batch16复现,15-5,sequential,DeepLabV3 ResNet101,step1 batch=16；历史参数记录不完整,step1,78.4678,41.2291,69.6015,,,历史复现，不跨谱系作差,完成,建立可运行、可比较的协议基座,E003
复现与基线,完整链路复现,15-5 batch32强基线,15-5,sequential,DeepLabV3 ResNet101,batch=32→32；buffer=8196；gamma=1；seed=1,step1,77.7942,43.2099,69.5598,,,历史复现，不跨谱系作差,完成,建立可运行、可比较的协议基座,E004
复现与基线,完整链路复现,15-5 canonical基线A,15-5,sequential,DeepLabV3 ResNet101,batch=32→64；buffer=8196；gamma=1；seed=1,step1,78.0085,42.1075,69.4606,,,历史复现，不跨谱系作差,完成,建立可运行、可比较的协议基座,E005
复现与基线,完整链路复现,15-5基线复跑B,15-5,sequential,DeepLabV3 ResNet101,step1 batch=48；buffer信息未固化,step1,77.8337,41.1692,69.1040,,,历史复现，不跨谱系作差,完成,建立可运行、可比较的协议基座,E006
批量大小与RHL维度搜索,工程超参数敏感性,TRS batch16基线,15-5,sequential,DeepLabV3 ResNet101,batch=16→16；buffer为当时默认,step1,78.3916,40.9181,69.4693,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E007
批量大小与RHL维度搜索,工程超参数敏感性,TRS buffer8196复跑,15-5,sequential,DeepLabV3 ResNet101,step1 batch=32；buffer=8196；run2,step1,78.2851,41.7986,69.5978,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E008
批量大小与RHL维度搜索,工程超参数敏感性,TRS buffer8200复跑,15-5,sequential,DeepLabV3 ResNet101,step1 batch=32；buffer=8200；run2,step1,78.4416,41.3724,69.6156,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E009
批量大小与RHL维度搜索,工程超参数敏感性,TRS buffer8204复跑,15-5,sequential,DeepLabV3 ResNet101,step1 batch=32；buffer=8204；run2,step1,78.4531,41.4769,69.6493,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E010
批量大小与RHL维度搜索,工程超参数敏感性,TRS buffer8208复跑,15-5,sequential,DeepLabV3 ResNet101,step1 batch=32；buffer=8208；run2,step1,78.4826,41.7398,69.7343,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E011
批量大小与RHL维度搜索,工程超参数敏感性,TRS buffer8216,15-5,sequential,DeepLabV3 ResNet101,step1 batch=32；buffer=8216,step1,78.3479,40.9395,69.4411,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E012
批量大小与RHL维度搜索,工程超参数敏感性,TRS基线复跑,15-5,sequential,DeepLabV3 ResNet101,step1 batch=32；buffer为当时默认,step1,78.4416,41.3724,69.6156,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E013
批量大小与RHL维度搜索,工程超参数敏感性,batch32与buffer8192,15-5,sequential,DeepLabV3 ResNet101,batch=32；buffer=8192；gamma=1,step1,77.7810,42.5245,69.3866,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E014
批量大小与RHL维度搜索,工程超参数敏感性,batch32与buffer8196,15-5,sequential,DeepLabV3 ResNet101,batch=32；buffer=8196；gamma=1,step1,77.7942,43.2099,69.5598,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E015
批量大小与RHL维度搜索,工程超参数敏感性,batch64到32与buffer8200,15-5,sequential,DeepLabV3 ResNet101,batch=64→32；buffer=8200,step1,77.8853,42.3663,69.4284,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E016
批量大小与RHL维度搜索,工程超参数敏感性,batch64到32基线,15-5,sequential,DeepLabV3 ResNet101,batch=64→32；buffer为当时默认,step1,78.2152,41.8541,69.5578,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E017
批量大小与RHL维度搜索,工程超参数敏感性,buffer8216本地复跑,15-5,sequential,DeepLabV3 ResNet101,step1 batch=32；buffer=8216；run2,step1,78.3479,40.9395,69.4411,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E018
批量大小与RHL维度搜索,工程超参数敏感性,step1 batch48与buffer8196,15-5,sequential,DeepLabV3 ResNet101,step1 batch=48；buffer=8196；gamma=1,step1,77.8857,41.8764,69.3121,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E019
批量大小与RHL维度搜索,工程超参数敏感性,step1 batch48旧buffer,15-5,sequential,DeepLabV3 ResNet101,step1 batch=48；buffer未固化,step1,77.8337,41.1692,69.1040,,,step0谱系不完全一致，仅作工程敏感性,完成的超参数实验,用于确定稳定运行区间，不视为独立方法创新,E020
RHL静态归一化,归一化与gamma消融,RHL l2_sqrt gamma=0.1,15-5,sequential,DeepLabV3 ResNet101,norm=l2_sqrt；gamma=0.1；batch=64；buffer=8196,step1,77.9433,41.6567,69.3036,RHL norm none,-0.1570,同谱系主对照,已验证无效并完成重构方案,三档gamma结果近乎相同且低于none,E021
RHL静态归一化,归一化与gamma消融,RHL l2_sqrt gamma=1,15-5,sequential,DeepLabV3 ResNet101,norm=l2_sqrt；gamma=1；batch=64；buffer=8196,step1,77.9433,41.6567,69.3036,RHL norm none,-0.1570,同谱系主对照,已验证无效并完成重构方案,三档gamma结果近乎相同且低于none,E022
RHL静态归一化,归一化与gamma消融,RHL l2_sqrt gamma=10,15-5,sequential,DeepLabV3 ResNet101,norm=l2_sqrt；gamma=10；batch=64；buffer=8196,step1,77.9433,41.6566,69.3036,RHL norm none,-0.1570,同谱系主对照,已验证无效并完成重构方案,三档gamma结果近乎相同且低于none,E023
